"","Collection","Gene_set","Size","NES_B_Cell","PValue_B_Cell","FDR_B_Cell","NES_T_Cell","PValue_T_Cell","FDR_T_Cell","NES_Monocyte","PValue_Monocyte","FDR_Monocyte"
"GO_BP:492619_GO_0008298_INTRACELLULAR_MRNA_LOCALIZATION","GO_BP","492619_GO_0008298_INTRACELLULAR_MRNA_LOCALIZATION",9,-0.6947,0.84,0.96,-0.7181,0.86,1,0.6564,0.89,1
"REACTOME:160136_REACT_21368_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1","REACTOME","160136_REACT_21368_JNK_C_JUN_KINASES_PHOSPHORYLATION_AND_ACTIVATION_MEDIATED_BY_ACTIVATED_HUMAN_TAK1",16,-0.6946,0.87,0.96,-0.5403,0.98,1,-0.9186,0.57,0.93
"GO_BP:487736_GO_0001840_NEURAL_PLATE_DEVELOPMENT","GO_BP","487736_GO_0001840_NEURAL_PLATE_DEVELOPMENT",13,-0.6946,0.87,0.96,-1.0761,0.36,0.95,-0.8398,0.7,0.96
"REACTOME:1127551_REACT_8017_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A","REACTOME","1127551_REACT_8017_APC_CDC20_MEDIATED_DEGRADATION_OF_NEK2A",23,-0.6946,0.89,0.96,1.4415,0.061,0.19,-1.0408,0.39,0.79
"GO_BP:489092_GO_0003300_CARDIAC_MUSCLE_HYPERTROPHY","GO_BP","489092_GO_0003300_CARDIAC_MUSCLE_HYPERTROPHY",20,-0.6945,0.87,0.96,-0.811,0.73,1,1.1895,0.2,0.72
"GO_BP:500827_GO_0031577_SPINDLE_CHECKPOINT","GO_BP","500827_GO_0031577_SPINDLE_CHECKPOINT",40,-0.6944,0.91,0.96,1.1085,0.29,0.89,-0.847,0.74,0.96
"GO_BP:501183_GO_0031943_REGULATION_OF_GLUCOCORTICOID_METABOLIC_PROCESS","GO_BP","501183_GO_0031943_REGULATION_OF_GLUCOCORTICOID_METABOLIC_PROCESS",9,-0.6943,0.85,0.96,0.7992,0.73,1,1.1254,0.3,0.74
"GO_BP:513896_GO_0060340_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY","GO_BP","513896_GO_0060340_POSITIVE_REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY",8,-0.6942,0.87,0.96,1.013,0.45,0.97,0.8871,0.6,0.95
"C2_Chemical_and_genetic_perturbations:C2_CGP_841_OXFORD_RALB_TARGETS_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_841_OXFORD_RALB_TARGETS_UP",8,-0.6941,0.87,0.96,1.0561,0.41,0.7,-1.0016,0.45,0.75
"KEGG_compound:C00110_DOLICHYL_PHOSPHATE_DOLICHOL_PHOSPHATE","KEGG_compound","C00110_DOLICHYL_PHOSPHATE_DOLICHOL_PHOSPHATE",7,-0.6939,0.86,0.94,-0.7804,0.73,1,-0.6611,0.9,0.93
"GO_CC:508835_GO_0046581_INTERCELLULAR_CANALICULUS","GO_CC","508835_GO_0046581_INTERCELLULAR_CANALICULUS",7,-0.6936,0.86,1,1.6626,0.01,0.081,-0.986,0.48,1
"C3_TF_targets:C3_TFT_566_SGCGSSAAA_V_E2F1DP2_01","C3_TF_targets","C3_TFT_566_SGCGSSAAA_V_E2F1DP2_01",167,-0.6932,0.98,1,0.7655,0.96,1,-1.2099,0.092,0.34
"GO_MF:496852_GO_0017022_MYOSIN_BINDING","GO_MF","496852_GO_0017022_MYOSIN_BINDING",51,-0.693,0.93,0.95,1.1606,0.22,0.74,0.9626,0.52,0.9
"GO_BP:495113_GO_0014041_REGULATION_OF_NEURON_MATURATION","GO_BP","495113_GO_0014041_REGULATION_OF_NEURON_MATURATION",7,-0.693,0.83,0.96,1.0262,0.45,0.97,1.4185,0.096,0.62
"C4_Cancer_modules:C4_CM_383_MODULE_480","C4_Cancer_modules","C4_CM_383_MODULE_480",96,-0.6928,0.96,0.96,1.2004,0.11,0.39,0.9149,0.65,0.95
"GO_MF:495661_GO_0015464_ACETYLCHOLINE_RECEPTOR_ACTIVITY","GO_MF","495661_GO_0015464_ACETYLCHOLINE_RECEPTOR_ACTIVITY",19,-0.6928,0.9,0.95,-1.5121,0.048,0.55,1.2262,0.2,0.69
"C3_TF_targets:C3_TFT_348_GAANYNYGACNY_UNKNOWN","C3_TF_targets","C3_TFT_348_GAANYNYGACNY_UNKNOWN",74,-0.6928,0.94,1,0.6574,0.99,1,-0.8315,0.82,0.99
"GO_BP:504322_GO_0035137_HINDLIMB_MORPHOGENESIS","GO_BP","504322_GO_0035137_HINDLIMB_MORPHOGENESIS",37,-0.6927,0.93,0.96,-1.0191,0.43,0.97,0.999,0.46,0.86
"GO_BP:516991_GO_0072074_KIDNEY_MESENCHYME_DEVELOPMENT","GO_BP","516991_GO_0072074_KIDNEY_MESENCHYME_DEVELOPMENT",17,-0.6927,0.88,0.96,-1.1292,0.29,0.94,0.9862,0.47,0.87
"GO_BP:517077_GO_0072161_MESENCHYMAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT","GO_BP","517077_GO_0072161_MESENCHYMAL_CELL_DIFFERENTIATION_INVOLVED_IN_KIDNEY_DEVELOPMENT",8,-0.6925,0.86,0.96,-1.3508,0.14,0.93,1.1779,0.26,0.72
"C2_Chemical_and_genetic_perturbations:C2_CGP_2994_DASU_IL6_SIGNALING_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_2994_DASU_IL6_SIGNALING_DN",7,-0.6924,0.86,0.96,-0.7404,0.8,1,0.6928,0.85,1
"C1_Positional:C1_ALL_107_CHR2P24","C1_Positional","C1_ALL_107_CHR2P24",49,-0.692,0.94,0.99,1.0791,0.33,0.65,1.0941,0.29,0.73
"C2_Chemical_and_genetic_perturbations:C2_CGP_1631_JIANG_AGING_CEREBRAL_CORTEX_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_1631_JIANG_AGING_CEREBRAL_CORTEX_UP",36,-0.6919,0.92,0.96,1.2672,0.12,0.42,-0.4785,1,1
"KEGG_reaction:R00328_GDP_PHOSPHOHYDROLASE_GDP_H2O_GMP_ORTHOPHOSPHATE","KEGG_reaction","R00328_GDP_PHOSPHOHYDROLASE_GDP_H2O_GMP_ORTHOPHOSPHATE",6,-0.6919,0.85,0.91,0.7417,0.78,1,0.6373,0.89,0.98
"C1_Positional:C1_ALL_68_CHR17Q22","C1_Positional","C1_ALL_68_CHR17Q22",27,-0.6915,0.89,0.98,-0.988,0.47,1,0.8873,0.65,0.86
"GO_BP:495027_GO_0010962_REGULATION_OF_GLUCAN_BIOSYNTHETIC_PROCESS","GO_BP","495027_GO_0010962_REGULATION_OF_GLUCAN_BIOSYNTHETIC_PROCESS",30,-0.6911,0.91,0.96,-0.4344,1,1,0.8047,0.78,1
"C2_Chemical_and_genetic_perturbations:C2_CGP_3262_PARK_OSTEOBLAST_DIFFERENTIATION_BY_PHENYLAMIL_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_3262_PARK_OSTEOBLAST_DIFFERENTIATION_BY_PHENYLAMIL_DN",6,-0.691,0.85,0.96,1.2973,0.15,0.39,1.2389,0.23,0.75
"C2_Chemical_and_genetic_perturbations:C2_CGP_2951_LY_AGING_OLD_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_2951_LY_AGING_OLD_UP",6,-0.6908,0.83,0.96,-1.0733,0.38,0.95,1.0103,0.43,0.96
"C7_Immunologic_signatures:C7_ALL_1685_GSE3982_BCELL_VS_TH2_UP","C7_Immunologic_signatures","C7_ALL_1685_GSE3982_BCELL_VS_TH2_UP",196,-0.6908,0.99,1,-0.7226,0.99,1,-0.73,1,1
"C4_Cancer_modules:C4_CM_346_MODULE_415","C4_Cancer_modules","C4_CM_346_MODULE_415",13,-0.6907,0.88,0.96,-1.97,0,0.051,1.0752,0.37,0.82
"C2_Chemical_and_genetic_perturbations:C2_CGP_2886_ZHAN_MULTIPLE_MYELOMA_PR_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_2886_ZHAN_MULTIPLE_MYELOMA_PR_DN",44,-0.6906,0.93,0.96,0.8237,0.78,0.98,-0.7586,0.88,0.97
"GO_BP:508059_GO_0045714_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_BIOSYNTHETIC_PROCESS","GO_BP","508059_GO_0045714_REGULATION_OF_LOW_DENSITY_LIPOPROTEIN_PARTICLE_RECEPTOR_BIOSYNTHETIC_PROCESS",7,-0.6906,0.86,0.96,0.9446,0.53,1,-0.6059,0.94,1
"C3_MicroRNA_targets:C3_MIR_199_CTCTATG_MIR_368","C3_MicroRNA_targets","C3_MIR_199_CTCTATG_MIR_368",40,-0.6905,0.9,1,1.2338,0.15,1,0.9362,0.56,1
"C2_Chemical_and_genetic_perturbations:C2_CGP_2158_LIN_MELANOMA_COPY_NUMBER_DN","C2_Chemical_and_genetic_perturbations","C2_CGP_2158_LIN_MELANOMA_COPY_NUMBER_DN",41,-0.6904,0.93,0.96,1.5382,0.031,0.18,0.5688,1,1
"KEGG_reaction:R00155_UDP_PHOSPHOHYDROLASE_UDP_H2O_UMP_ORTHOPHOSPHATE","KEGG_reaction","R00155_UDP_PHOSPHOHYDROLASE_UDP_H2O_UMP_ORTHOPHOSPHATE",6,-0.6902,0.85,0.9,0.7511,0.78,1,0.6669,0.86,0.98
"REACTOME:771574_REACT_160242_INITIATION_OF_NUCLEAR_ENVELOPE_REFORMATION","REACTOME","771574_REACT_160242_INITIATION_OF_NUCLEAR_ENVELOPE_REFORMATION",13,-0.69,0.89,0.96,1.2007,0.23,0.44,-0.5536,0.96,1
"WikiPathways:198859_WP325_TRIACYLGLYCERIDE_SYNTHESIS","WikiPathways","198859_WP325_TRIACYLGLYCERIDE_SYNTHESIS",23,-0.69,0.9,0.97,1.1293,0.3,0.97,0.8462,0.7,1
"C2_Chemical_and_genetic_perturbations:C2_CGP_699_LUI_THYROID_CANCER_CLUSTER_3","C2_Chemical_and_genetic_perturbations","C2_CGP_699_LUI_THYROID_CANCER_CLUSTER_3",28,-0.6898,0.89,0.96,2.4313,0,0,-1.1088,0.29,0.62
"C7_Immunologic_signatures:C7_ALL_381_GSE15750_WT_VS_TRAF6KO_DAY6_EFF_CD8_TCELL_UP","C7_Immunologic_signatures","C7_ALL_381_GSE15750_WT_VS_TRAF6KO_DAY6_EFF_CD8_TCELL_UP",200,-0.6897,1,1,1.0067,0.43,0.72,-0.9105,0.7,0.93
"GO_MF:504654_GO_0035473_LIPASE_BINDING","GO_MF","504654_GO_0035473_LIPASE_BINDING",6,-0.6893,0.84,0.95,0.9565,0.49,0.92,1.1798,0.28,0.75
"REACTOME:106573_REACT_15480_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT","REACTOME","106573_REACT_15480_ABC_FAMILY_PROTEINS_MEDIATED_TRANSPORT",43,-0.6893,0.93,0.96,-1.0418,0.37,0.95,-1.0102,0.44,0.82
"C7_Immunologic_signatures:C7_ALL_776_GSE17974_0H_VS_12H_IN_VITRO_ACT_CD4_TCELL_DN","C7_Immunologic_signatures","C7_ALL_776_GSE17974_0H_VS_12H_IN_VITRO_ACT_CD4_TCELL_DN",198,-0.6892,0.99,1,1.0816,0.23,0.49,-0.8427,0.91,1
"GO_BP:849879_GO_1902177_POSITIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY","GO_BP","849879_GO_1902177_POSITIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_INTRINSIC_APOPTOTIC_SIGNALING_PATHWAY",6,-0.6891,0.85,0.97,-1.178,0.27,0.91,-0.9134,0.55,0.91
"C2_Chemical_and_genetic_perturbations:C2_CGP_1161_WANG_PROSTATE_CANCER_ANDROGEN_INDEPENDENT","C2_Chemical_and_genetic_perturbations","C2_CGP_1161_WANG_PROSTATE_CANCER_ANDROGEN_INDEPENDENT",63,-0.6889,0.95,0.96,1.2268,0.14,0.46,1.0801,0.31,0.87
"GO_BP:519181_GO_2000542_NEGATIVE_REGULATION_OF_GASTRULATION","GO_BP","519181_GO_2000542_NEGATIVE_REGULATION_OF_GASTRULATION",7,-0.6888,0.85,0.97,-0.9405,0.55,1,-1.34,0.15,0.61
"KEGG_compound:C00272_TETRAHYDROBIOPTERIN_5_6_7_8_TETRAHYDROBIOPTERIN_2_AMINO_6_1_2_DIHYDROXYPROPYL_5_6_7_8_TETRAHYDORO_4_1H_PTERIDINONE_L_ERYTHRO_TETRAHYDROBIOPTERIN","KEGG_compound","C00272_TETRAHYDROBIOPTERIN_5_6_7_8_TETRAHYDROBIOPTERIN_2_AMINO_6_1_2_DIHYDROXYPROPYL_5_6_7_8_TETRAHYDORO_4_1H_PTERIDINONE_L_ERYTHRO_TETRAHYDROBIOPTERIN",6,-0.6883,0.86,0.94,0.9591,0.51,1,-1.026,0.43,0.62
"GO_BP:505445_GO_0042297_VOCAL_LEARNING","GO_BP","505445_GO_0042297_VOCAL_LEARNING",5,-0.6878,0.85,0.97,-1.0946,0.38,0.95,1.375,0.13,0.64
"GO_BP:514861_GO_0061316_CANONICAL_WNT_SIGNALING_PATHWAY_INVOLVED_IN_HEART_DEVELOPMENT","GO_BP","514861_GO_0061316_CANONICAL_WNT_SIGNALING_PATHWAY_INVOLVED_IN_HEART_DEVELOPMENT",5,-0.6871,0.85,0.97,-0.7179,0.8,1,0.9439,0.52,0.91
"GO_BP:504650_GO_0035469_DETERMINATION_OF_PANCREATIC_LEFT_RIGHT_ASYMMETRY","GO_BP","504650_GO_0035469_DETERMINATION_OF_PANCREATIC_LEFT_RIGHT_ASYMMETRY",5,-0.6869,0.85,0.97,-1.3527,0.12,0.95,-0.6353,0.88,1
"GO_BP:982302_GO_0098597_OBSERVATIONAL_LEARNING","GO_BP","982302_GO_0098597_OBSERVATIONAL_LEARNING",5,-0.6868,0.86,0.97,-1.0784,0.38,0.95,1.3729,0.13,0.64
"GO_BP:491079_GO_0006099_TRICARBOXYLIC_ACID_CYCLE","GO_BP","491079_GO_0006099_TRICARBOXYLIC_ACID_CYCLE",29,-0.6867,0.91,0.97,1.9319,0.0021,0.028,-1.4659,0.053,0.54
"GO_BP:514742_GO_0061197_FUNGIFORM_PAPILLA_MORPHOGENESIS","GO_BP","514742_GO_0061197_FUNGIFORM_PAPILLA_MORPHOGENESIS",5,-0.6865,0.85,0.97,-1.046,0.42,0.97,0.8696,0.64,0.97
"GO_BP:514558_GO_0061003_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS","GO_BP","514558_GO_0061003_POSITIVE_REGULATION_OF_DENDRITIC_SPINE_MORPHOGENESIS",9,-0.6865,0.86,0.97,-1.2973,0.17,0.89,-0.6595,0.89,1
"GO_BP:512738_GO_0051883_KILLING_OF_CELLS_IN_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION","GO_BP","512738_GO_0051883_KILLING_OF_CELLS_IN_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION",10,-0.6861,0.87,0.97,1.4982,0.069,0.41,0.6521,0.91,1
"GO_BP:491827_GO_0006991_RESPONSE_TO_STEROL_DEPLETION","GO_BP","491827_GO_0006991_RESPONSE_TO_STEROL_DEPLETION",10,-0.6859,0.88,0.97,-0.7621,0.76,1,-0.705,0.87,0.99
"C1_Positional:C1_ALL_138_CHR15Q15","C1_Positional","C1_ALL_138_CHR15Q15",76,-0.6859,0.97,0.98,-0.9236,0.6,1,0.9318,0.6,0.82
"KEGG_compound:C00546_METHYLGLYOXAL_PYRUVALDEHYDE_PYRUVIC_ALDEHYDE_2_KETOPROPIONALDEHYDE_2_OXOPROPANAL","KEGG_compound","C00546_METHYLGLYOXAL_PYRUVALDEHYDE_PYRUVIC_ALDEHYDE_2_KETOPROPIONALDEHYDE_2_OXOPROPANAL",8,-0.6857,0.85,0.95,-0.9044,0.58,1,-1.5398,0.043,0.21
"KEGG_module:HSA_M00152_CYTOCHROME_BC1_COMPLEX","KEGG_module","HSA_M00152_CYTOCHROME_BC1_COMPLEX",10,-0.6855,0.86,0.95,1.5656,0.035,0.13,0.6936,0.86,1
"C2_Chemical_and_genetic_perturbations:C2_CGP_1595_FAELT_B_CLL_WITH_VH3_21_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_1595_FAELT_B_CLL_WITH_VH3_21_UP",44,-0.6853,0.93,0.96,-0.5499,1,1,1.0405,0.4,0.92
"C3_MicroRNA_targets:C3_MIR_203_CAGCAGG_MIR_370","C3_MicroRNA_targets","C3_MIR_203_CAGCAGG_MIR_370",153,-0.685,0.98,1,-1.416,0.0086,0.56,-1.0542,0.32,1
"REACTOME:105825_REACT_6828_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS","REACTOME","105825_REACT_6828_APC_C_MEDIATED_DEGRADATION_OF_CELL_CYCLE_PROTEINS",83,-0.6849,0.97,0.97,1.8999,0,0.0081,-1.0338,0.39,0.8
"C7_Immunologic_signatures:C7_ALL_864_GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_DN","C7_Immunologic_signatures","C7_ALL_864_GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_DN",200,-0.6849,0.99,1,0.9936,0.47,0.76,-1.0018,0.43,0.72
"GO_BP:501186_GO_0031946_REGULATION_OF_GLUCOCORTICOID_BIOSYNTHETIC_PROCESS","GO_BP","501186_GO_0031946_REGULATION_OF_GLUCOCORTICOID_BIOSYNTHETIC_PROCESS",7,-0.6848,0.87,0.97,0.8247,0.69,1,1.0699,0.38,0.78
"C7_Immunologic_signatures:C7_ALL_1227_GSE27786_ERYTHROBLAST_VS_NEUTROPHIL_UP","C7_Immunologic_signatures","C7_ALL_1227_GSE27786_ERYTHROBLAST_VS_NEUTROPHIL_UP",193,-0.6847,0.99,1,1.2323,0.069,0.18,-0.8945,0.76,0.96
"GO_BP:507348_GO_0044342_TYPE_B_PANCREATIC_CELL_PROLIFERATION","GO_BP","507348_GO_0044342_TYPE_B_PANCREATIC_CELL_PROLIFERATION",8,-0.6846,0.86,0.97,-0.8611,0.63,1,-1.3443,0.15,0.61
"GO_BP:752621_GO_0097120_RECEPTOR_LOCALIZATION_TO_SYNAPSE","GO_BP","752621_GO_0097120_RECEPTOR_LOCALIZATION_TO_SYNAPSE",8,-0.6846,0.87,0.97,-0.7028,0.84,1,-0.7682,0.77,1
"GO_BP:512689_GO_0051818_DISRUPTION_OF_CELLS_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION","GO_BP","512689_GO_0051818_DISRUPTION_OF_CELLS_OF_OTHER_ORGANISM_INVOLVED_IN_SYMBIOTIC_INTERACTION",10,-0.6845,0.86,0.97,1.4713,0.095,0.46,0.6674,0.88,1
"REACTOME:160944_REACT_21279_REGULATION_OF_MITOTIC_CELL_CYCLE","REACTOME","160944_REACT_21279_REGULATION_OF_MITOTIC_CELL_CYCLE",83,-0.6843,0.96,0.97,1.8717,0,0.011,-1.0304,0.38,0.8
"KEGG_reaction:R08379_RETINOL_NADP_OXIDOREDUCTASE_RETINOL_NADP_RETINAL_NADPH_H_","KEGG_reaction","R08379_RETINOL_NADP_OXIDOREDUCTASE_RETINOL_NADP_RETINAL_NADPH_H_",7,-0.6842,0.88,0.9,0.7662,0.73,1,-0.8208,0.69,0.83
"GO_CC:925902_GO_0098573_INTRINSIC_COMPONENT_OF_MITOCHONDRIAL_MEMBRANE","GO_CC","925902_GO_0098573_INTRINSIC_COMPONENT_OF_MITOCHONDRIAL_MEMBRANE",41,-0.6842,0.94,1,1.0002,0.45,0.79,-0.7432,0.9,1
"GO_BP:1022195_GO_1903209_POSITIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_CELL_DEATH","GO_BP","1022195_GO_1903209_POSITIVE_REGULATION_OF_OXIDATIVE_STRESS_INDUCED_CELL_DEATH",8,-0.6842,0.86,0.97,-1.2064,0.23,0.88,-1.007,0.45,0.84
"GO_BP:501666_GO_0032434_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS","GO_BP","501666_GO_0032434_REGULATION_OF_PROTEASOMAL_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS",128,-0.6839,0.98,0.97,1.1049,0.23,0.9,-0.9741,0.51,0.88
"GO_BP:510369_GO_0048255_MRNA_STABILIZATION","GO_BP","510369_GO_0048255_MRNA_STABILIZATION",28,-0.6836,0.9,0.97,1.0053,0.43,0.98,-0.7294,0.88,0.99
"GO_BP:491468_GO_0006572_TYROSINE_CATABOLIC_PROCESS","GO_BP","491468_GO_0006572_TYROSINE_CATABOLIC_PROCESS",5,-0.6836,0.84,0.97,-1.2523,0.22,0.91,0.9647,0.5,0.89
"GO_CC:490834_GO_0030658_TRANSPORT_VESICLE_MEMBRANE","GO_CC","490834_GO_0030658_TRANSPORT_VESICLE_MEMBRANE",82,-0.6835,0.96,1,1.063,0.32,0.7,-0.9818,0.5,1
"GO_BP:517433_GO_0072528_PYRIMIDINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS","GO_BP","517433_GO_0072528_PYRIMIDINE_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS",38,-0.6831,0.92,0.97,0.6333,0.98,1,-0.8826,0.66,0.94
"C3_TF_targets:C3_TFT_553_YTCCCRNNAGGY_UNKNOWN","C3_TF_targets","C3_TFT_553_YTCCCRNNAGGY_UNKNOWN",72,-0.683,0.95,1,-0.9329,0.59,0.9,-1.3129,0.072,0.24
"C4_Cancer_gene_neighborhoods:C4_CGN_90_MORF_EI24","C4_Cancer_gene_neighborhoods","C4_CGN_90_MORF_EI24",143,-0.6829,0.98,1,2.1263,0,0.00012,-1.2021,0.11,0.44
"C2_Chemical_and_genetic_perturbations:C2_CGP_2610_ZHANG_TLX_TARGETS_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_2610_ZHANG_TLX_TARGETS_UP",89,-0.6825,0.98,0.96,1.0044,0.44,0.79,-1.3724,0.034,0.38
"GO_BP:519022_GO_2000382_POSITIVE_REGULATION_OF_MESODERM_DEVELOPMENT","GO_BP","519022_GO_2000382_POSITIVE_REGULATION_OF_MESODERM_DEVELOPMENT",5,-0.6823,0.88,0.97,0.5771,0.94,1,0.8896,0.59,0.95
"GO_CC:507372_GO_0044423_VIRION_PART","GO_CC","507372_GO_0044423_VIRION_PART",11,-0.6822,0.88,1,-0.8468,0.68,0.97,0.6721,0.9,1
"REACTOME:105734_REACT_11184_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS","REACTOME","105734_REACT_11184_NEUROTOXICITY_OF_CLOSTRIDIUM_TOXINS",10,-0.6821,0.89,0.97,-1.3507,0.12,0.59,1.2762,0.18,0.78
"GO_BP:983712_GO_1902993_POSITIVE_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS","GO_BP","983712_GO_1902993_POSITIVE_REGULATION_OF_AMYLOID_PRECURSOR_PROTEIN_CATABOLIC_PROCESS",5,-0.6812,0.89,0.97,1.3458,0.13,0.62,-1.2035,0.28,0.73
"C2_Chemical_and_genetic_perturbations:C2_CGP_3216_TERAO_AOX4_TARGETS_SKIN_UP","C2_Chemical_and_genetic_perturbations","C2_CGP_3216_TERAO_AOX4_TARGETS_SKIN_UP",38,-0.6809,0.93,0.96,-0.8759,0.67,1,0.8422,0.73,1
"C7_Immunologic_signatures:C7_ALL_1229_GSE27786_ERYTHROBLAST_VS_MONO_MAC_UP","C7_Immunologic_signatures","C7_ALL_1229_GSE27786_ERYTHROBLAST_VS_MONO_MAC_UP",193,-0.6806,0.99,1,0.7205,1,1,-1.1632,0.12,0.34
"GO_MF:500193_GO_0030898_ACTIN_DEPENDENT_ATPASE_ACTIVITY","GO_MF","500193_GO_0030898_ACTIN_DEPENDENT_ATPASE_ACTIVITY",12,-0.6805,0.87,0.96,-0.6394,0.93,1,1.2595,0.18,0.65
"GO_BP:506399_GO_0043353_ENUCLEATE_ERYTHROCYTE_DIFFERENTIATION","GO_BP","506399_GO_0043353_ENUCLEATE_ERYTHROCYTE_DIFFERENTIATION",8,-0.6802,0.87,0.97,-0.5191,0.98,1,-0.6975,0.85,0.99
"GO_BP:491811_GO_0006972_HYPEROSMOTIC_RESPONSE","GO_BP","491811_GO_0006972_HYPEROSMOTIC_RESPONSE",23,-0.6801,0.9,0.97,1.0973,0.29,0.9,-0.8808,0.63,0.94
"GO_BP:487030_GO_0000733_DNA_STRAND_RENATURATION","GO_BP","487030_GO_0000733_DNA_STRAND_RENATURATION",9,-0.6801,0.85,0.97,-1.197,0.26,0.9,-1.0059,0.45,0.84
"GO_BP:493941_GO_0009838_ABSCISSION","GO_BP","493941_GO_0009838_ABSCISSION",6,-0.68,0.86,0.97,0.973,0.49,1,-0.7538,0.79,1
"GO_BP:505290_GO_0042118_ENDOTHELIAL_CELL_ACTIVATION","GO_BP","505290_GO_0042118_ENDOTHELIAL_CELL_ACTIVATION",9,-0.6797,0.9,0.97,0.5998,0.93,1,-1.0434,0.4,0.82
"GO_CC:1051067_GO_0097651_PHOSPHATIDYLINOSITOL_3_KINASE_COMPLEX_CLASS_I","GO_CC","1051067_GO_0097651_PHOSPHATIDYLINOSITOL_3_KINASE_COMPLEX_CLASS_I",5,-0.6797,0.84,1,1.3847,0.12,0.3,1.4722,0.072,0.63
"GO_MF:505904_GO_0042800_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K4_SPECIFIC_","GO_MF","505904_GO_0042800_HISTONE_METHYLTRANSFERASE_ACTIVITY_H3_K4_SPECIFIC_",17,-0.6795,0.9,0.96,-0.7194,0.86,1,-0.5409,0.99,1
"GO_BP:518744_GO_2000095_REGULATION_OF_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY","GO_BP","518744_GO_2000095_REGULATION_OF_WNT_SIGNALING_PATHWAY_PLANAR_CELL_POLARITY_PATHWAY",13,-0.6795,0.86,0.97,0.7232,0.84,1,-1.1789,0.25,0.73
"GO_CC:499560_GO_0030131_CLATHRIN_ADAPTOR_COMPLEX","GO_CC","499560_GO_0030131_CLATHRIN_ADAPTOR_COMPLEX",32,-0.6792,0.92,1,0.9845,0.49,0.81,0.5601,0.99,1
"C2_Chemical_and_genetic_perturbations:C2_CGP_704_MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_13","C2_Chemical_and_genetic_perturbations","C2_CGP_704_MYLLYKANGAS_AMPLIFICATION_HOT_SPOT_13",6,-0.6791,0.86,0.96,-0.8824,0.6,1,-1.2168,0.26,0.5
"GO_MF:503618_GO_0034416_BISPHOSPHOGLYCERATE_PHOSPHATASE_ACTIVITY","GO_MF","503618_GO_0034416_BISPHOSPHOGLYCERATE_PHOSPHATASE_ACTIVITY",5,-0.6789,0.86,0.96,-0.8359,0.66,1,1.0828,0.37,0.81
"C4_Cancer_modules:C4_CM_258_MODULE_293","C4_Cancer_modules","C4_CM_258_MODULE_293",11,-0.6787,0.88,0.96,0.717,0.85,1,-0.7615,0.79,0.99
"GO_BP:982303_GO_0098598_LEARNED_VOCALIZATION_BEHAVIOR_OR_VOCAL_LEARNING","GO_BP","982303_GO_0098598_LEARNED_VOCALIZATION_BEHAVIOR_OR_VOCAL_LEARNING",5,-0.6783,0.83,0.97,-1.0665,0.42,0.96,1.3703,0.14,0.64
